,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_NN__alpha,param_NN__hidden_layer_sizes,param_filter__n,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
213,0.28890085220336914,0.010487914882519572,0.0016098976135253905,0.003219795227050781,0.001,"(25, 25)",7,"{'NN__alpha': 0.001, 'NN__hidden_layer_sizes': (25, 25), 'filter__n': 7}",0.9829059829059823,0.9870129870129865,1.0,0.9956331877729256,0.9956331877729258,0.9922319732258505,0.006290533135803505,145,0.9923830250272034,0.9859762675296639,0.990249187432285,0.9891774891774904,0.9923995656894686,0.9900371069712222,0.0023815490993963364
214,0.2838240623474121,0.00798346411683195,0.00795903205871582,0.006992359916406041,0.001,"(25, 25)",8,"{'NN__alpha': 0.001, 'NN__hidden_layer_sizes': (25, 25), 'filter__n': 8}",0.9829059829059823,0.9870129870129865,0.9913043478260867,0.9956331877729258,0.9913043478260869,0.9896276196631169,0.0043300337904841725,161,0.9817007534983851,0.9891774891774878,0.985976267529664,0.99455930359086,0.9956427015250547,0.9894113030642904,0.005227598853478832
215,0.2764470100402832,0.007192227300332954,0.003124046325683594,0.006248092651367188,0.001,"(25, 25)",9,"{'NN__alpha': 0.001, 'NN__hidden_layer_sizes': (25, 25), 'filter__n': 9}",0.9704641350210959,1.0,0.9913043478260867,0.9956331877729258,0.9827586206896551,0.9880257701408465,0.010475526467415027,176,0.9754010695187166,1.0,0.9827956989247295,0.9967284623773176,0.9913232104121483,0.9892496882465824,0.009046977155953269
216,0.2726140022277832,0.006267588189600825,0.006243753433227539,0.007647011570066743,0.001,"(25, 25)",10,"{'NN__alpha': 0.001, 'NN__hidden_layer_sizes': (25, 25), 'filter__n': 10}",0.9913793103448272,0.9956331877729255,1.0,0.9956331877729256,0.991304347826087,0.9947897639435709,0.0032361461821065816,115,0.9913043478260869,0.9913232104121463,0.9902491874322847,0.991323210412149,0.9945593035908605,0.9917518519347055,0.0014633873339232515
217,0.3082745552062988,0.0069930305480842584,0.0062482357025146484,0.007652494632272043,0.001,"(25, 25)",11,"{'NN__alpha': 0.001, 'NN__hidden_layer_sizes': (25, 25), 'filter__n': 11}",0.9956709956709955,1.0,1.0,0.991304347826087,0.9913043478260869,0.9956586937128904,0.0038878956159367293,103,1.0,0.992399565689467,0.995642701525054,0.9956427015250547,0.9902491874322873,0.9947868312343726,0.003314555914277303
218,0.2976044178009033,0.011717700073610308,0.0031242847442626955,0.006248569488525391,0.001,"(25, 25)",12,"{'NN__alpha': 0.001, 'NN__hidden_layer_sizes': (25, 25), 'filter__n': 12}",0.9913793103448272,1.0,0.9913043478260867,0.9827586206896551,0.9827586206896552,0.9896450794830144,0.0064459644982923815,157,0.987012987012987,0.9956427015250537,0.9913232104121463,0.9913232104121488,0.9849137931034495,0.990043180493157,0.003744977342912259
219,0.3101088047027588,0.012508665633109796,0.004425430297851562,0.006138841253475087,0.001,"(25, 25)",13,"{'NN__alpha': 0.001, 'NN__hidden_layer_sizes': (25, 25), 'filter__n': 13}",0.9829059829059822,1.0,0.9827586206896545,0.9620253164556963,0.9913043478260869,0.9838030808739034,0.012603094575020886,238,0.9880823401950163,0.9934782608695643,0.9859762675296637,0.9817400644468336,0.9806866952789716,0.9859927256640099,0.00461820490985401
220,0.31451125144958497,0.013865245770298879,0.009373664855957031,0.007653565424979251,0.001,"(25, 25)",14,"{'NN__alpha': 0.001, 'NN__hidden_layer_sizes': (25, 25), 'filter__n': 14}",0.987124463519313,0.9956331877729255,0.9827586206896547,0.9827586206896552,0.9785407725321887,0.9853666691353549,0.00580795597153342,225,0.9806451612903226,0.994559303590859,0.9723404255319114,0.9902491874322875,0.9870410367170642,0.9849670229124889,0.007775912720456441
221,0.3069728374481201,0.007668477431866098,0.0124969482421875,0.006248474157482422,0.001,"(25, 25)",15,"{'NN__alpha': 0.001, 'NN__hidden_layer_sizes': (25, 25), 'filter__n': 15}",0.9704641350210959,0.9956331877729255,0.9913043478260867,0.9702127659574468,0.9946670266986194,0.9844531449419037,0.011617002126687129,236,0.9743589743589743,0.9934782608695643,0.9891774891774875,0.9910822071289029,0.9889364961032295,0.9874066855276318,0.006724467545886953
222,0.3114155769348145,0.023534795172888333,0.009372901916503907,0.007652942549926337,0.001,"(25, 25)",16,"{'NN__alpha': 0.001, 'NN__hidden_layer_sizes': (25, 25), 'filter__n': 16}",0.9956709956709955,1.0,0.9913043478260867,0.9620253164556962,0.9870129870129869,0.9872134232684993,0.013308900201205951,197,0.9848812095032399,0.9989071038251365,0.9838536060279848,0.9902491874322875,0.993478260869566,0.990273873531643,0.005569596629150072
