,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_NN__alpha,param_NN__hidden_layer_sizes,param_rp__n_components,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
177,0.08773889541625976,0.01821770125465544,0.003124427795410156,0.006248855590820312,0.001,"(50,)",3,"{'NN__alpha': 0.001, 'NN__hidden_layer_sizes': (50,), 'rp__n_components': 3}",0.5507532418001525,0.5768211289092295,0.5629099923722348,0.5905203784570597,0.5773337546924078,0.571660546756527,0.01362478285500872,304,0.5652197282421741,0.5812138086228643,0.5562274251805985,0.576459085008495,0.5849067803485862,0.5728053654805436,0.01061005015233893
178,0.06014165878295898,0.029007923221171975,0.0,0.0,0.001,"(50,)",4,"{'NN__alpha': 0.001, 'NN__hidden_layer_sizes': (50,), 'rp__n_components': 4}",0.5974828375286041,0.5,0.49999999999999994,0.5,0.4956140350877193,0.5186315170885969,0.03947657686605237,317,0.6032923403279441,0.49999999999999994,0.49999999999999994,0.49999999999999983,0.5005357176946718,0.5207656116045232,0.04126388599568074
179,0.09893484115600586,0.04324505041777079,0.0013010978698730468,0.002602195739746094,0.001,"(50,)",5,"{'NN__alpha': 0.001, 'NN__hidden_layer_sizes': (50,), 'rp__n_components': 5}",0.6669527078565979,0.6866132723112127,0.6833810068649885,0.6985654638780358,0.7804096759365664,0.7031632450051057,0.03990113992526999,257,0.6862763014562551,0.6958132668271987,0.690651516454535,0.6721944619437603,0.7771748468014431,0.7044220786966384,0.037214496654950316
180,0.09269237518310547,0.009476739395182279,0.0,0.0,0.001,"(50,)",6,"{'NN__alpha': 0.001, 'NN__hidden_layer_sizes': (50,), 'rp__n_components': 6}",0.8310545385202136,0.8082189168573608,0.8082761250953469,0.8207117137822723,0.8480090783727879,0.8232475947580631,0.015035106230837732,235,0.8392619109047128,0.8357126476321523,0.8131073701410387,0.8118616726800678,0.8208576136341941,0.8241602429984332,0.011365268297473393
181,0.10780143737792969,0.031518126078394576,0.003119087219238281,0.006238174438476562,0.001,"(50,)",7,"{'NN__alpha': 0.001, 'NN__hidden_layer_sizes': (50,), 'rp__n_components': 7}",0.8476353928299007,0.8289187643020596,0.9118135011441647,0.8983614877805869,0.8972362675247071,0.8767808272933338,0.03241433629925962,209,0.8604123667010664,0.8854596663226694,0.903094900240798,0.8719264837829066,0.8738244635664241,0.8789435761227729,0.01445404102006778
182,0.18042449951171874,0.1013862840431894,0.0031243324279785155,0.006248664855957031,0.001,"(50,)",8,"{'NN__alpha': 0.001, 'NN__hidden_layer_sizes': (50,), 'rp__n_components': 8}",0.8266495041952706,0.9051392067124333,0.8311117467581998,0.8885026430705585,0.967191450241324,0.8836931644916715,0.05190658986812824,203,0.8556125300997592,0.9260101335855978,0.8422593452585713,0.8617045964339575,0.9585630118549909,0.8888299234465753,0.04528370343516823
183,0.36087489128112793,0.04969925513332528,0.0,0.0,0.001,"(50,)",9,"{'NN__alpha': 0.001, 'NN__hidden_layer_sizes': (50,), 'rp__n_components': 9}",0.9378623188405797,0.9411327231121281,0.9706045003813882,0.9049691641768176,0.9497242013330269,0.9408664648236387,0.021259572472641656,150,0.9544221562894166,0.9601644020181171,0.9773409729388831,0.9057172651432716,0.9310478232441821,0.945738523926774,0.024898771272656654
184,0.2543923854827881,0.02880926420131989,0.0031243324279785155,0.006248664855957032,0.001,"(50,)",10,"{'NN__alpha': 0.001, 'NN__hidden_layer_sizes': (50,), 'rp__n_components': 10}",0.9477498093058734,0.9237604881769643,0.9596777269260106,0.9803014632651498,0.9661236880410635,0.955512314290906,0.019041459642399637,132,0.9552516913198029,0.9555293974314872,0.9658994811374844,0.9727380543306032,0.9629239209285455,0.9624685090295847,0.006598124853617776
185,0.13408780097961426,0.042991544350072776,0.003129720687866211,0.006259441375732422,0.001,"(50,)",11,"{'NN__alpha': 0.001, 'NN__hidden_layer_sizes': (50,), 'rp__n_components': 11}",0.9269927536231884,0.8844393592677346,0.8356311975591152,0.8939563701830997,0.9289100206849001,0.893975761001548,0.034079796966958384,192,0.919499269005848,0.8870363203761037,0.8418436819172113,0.8920320046579996,0.9225541921997593,0.8925930936313844,0.02908025116771373
186,0.2236602783203125,0.09070844392783695,0.0,0.0,0.001,"(50,)",12,"{'NN__alpha': 0.001, 'NN__hidden_layer_sizes': (50,), 'rp__n_components': 12}",0.8909992372234935,0.911641876430206,0.924799771167048,0.9836100896345669,0.9212250057458057,0.9264400488105565,0.030891150176889256,166,0.9159320892099532,0.9323221247563351,0.9077406547414286,0.984458519462421,0.9113569168432505,0.9303620610026776,0.028324605132291084
