,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_NN__alpha,param_NN__hidden_layer_sizes,param_ica__n_components,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
25,0.15724678039550782,0.05183749426458344,0.0,0.0,0.1,"(50,)",11,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50,), 'ica__n_components': 11}",0.5021739130434781,0.7522597254004576,0.7230930587337909,0.5,0.6871408871523789,0.6329564824863769,0.10961779614385275,1,0.5,0.7634481424148607,0.7239905830753353,0.49999999999999983,0.7010632624133782,0.6377003975807148,0.11418944178088074
26,0.2543689250946045,0.11960535525818236,0.0,0.0,0.1,"(50,)",12,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50,), 'ica__n_components': 12}",0.5,0.4989035087719297,0.49999999999999994,0.5,0.5,0.4997805738090851,0.00043869242105105494,293,0.49972587719298245,0.49999999999999994,0.49999999999999994,0.49999999999999983,0.49999999999999983,0.4999451754385964,0.00010964912280697625
27,0.25127344131469725,0.12021351275576006,0.0031288623809814452,0.0062577247619628905,0.1,"(50,)",13,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50,), 'ica__n_components': 13}",0.5,0.4989035087719297,0.49999999999999994,0.5,0.5,0.4997805738090851,0.00043869242105105494,293,0.49972587719298245,0.49999999999999994,0.49999999999999994,0.49999999999999983,0.49999999999999983,0.4999451754385964,0.00010964912280697625
28,0.2606241703033447,0.12399135021498185,0.0,0.0,0.1,"(50,)",14,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50,), 'ica__n_components': 14}",0.5,0.4989035087719297,0.49999999999999994,0.5,0.5,0.4997805738090851,0.00043869242105105494,293,0.49972587719298245,0.49999999999999994,0.49999999999999994,0.49999999999999983,0.49999999999999983,0.4999451754385964,0.00010964912280697625
29,0.25438613891601564,0.1195961670789252,0.0,0.0,0.1,"(50,)",15,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50,), 'ica__n_components': 15}",0.5,0.4989035087719297,0.49999999999999994,0.5,0.5,0.4997805738090851,0.00043869242105105494,293,0.49972587719298245,0.49999999999999994,0.49999999999999994,0.49999999999999983,0.49999999999999983,0.4999451754385964,0.00010964912280697625
30,0.2544077396392822,0.12681624326477062,0.0,0.0,0.1,"(50,)",16,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50,), 'ica__n_components': 16}",0.5,0.4989035087719297,0.49999999999999994,0.5,0.5,0.4997805738090851,0.00043869242105105494,293,0.49972587719298245,0.49999999999999994,0.49999999999999994,0.49999999999999983,0.49999999999999983,0.4999451754385964,0.00010964912280697625
31,0.25128946304321287,0.12077389424264257,0.0031241893768310545,0.006248378753662109,0.1,"(50,)",17,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50,), 'ica__n_components': 17}",0.5,0.4989035087719297,0.49999999999999994,0.5,0.5,0.4997805738090851,0.00043869242105105494,293,0.49972587719298245,0.49999999999999994,0.49999999999999994,0.49999999999999983,0.49999999999999983,0.4999451754385964,0.00010964912280697625
32,0.0294217586517334,0.007343422234301062,0.0,0.0,0.1,"(25,)",2,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (25,), 'ica__n_components': 2}",0.5,0.5,0.49999999999999994,0.5,0.5,0.5,2.483258240809192e-17,45,0.5,0.49999999999999994,0.49999999999999994,0.49999999999999983,0.49999999999999983,0.4999999999999999,7.021666937153402e-17
33,0.04322667121887207,0.004457673803169328,0.0,0.0,0.1,"(25,)",3,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (25,), 'ica__n_components': 3}",0.5,0.5,0.49999999999999994,0.5,0.5,0.5,2.483258240809192e-17,45,0.5,0.49999999999999994,0.49999999999999994,0.49999999999999983,0.49999999999999983,0.4999999999999999,7.021666937153402e-17
34,0.05077676773071289,0.008206036644416758,0.0,0.0,0.1,"(25,)",4,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (25,), 'ica__n_components': 4}",0.5,0.5,0.49999999999999994,0.5,0.5,0.5,2.483258240809192e-17,45,0.5,0.49999999999999994,0.49999999999999994,0.5005440696409139,0.49999999999999983,0.5001088139281828,0.00021762785636559313
35,0.04322056770324707,0.010841469722511578,0.0062481403350830075,0.007652377840413093,0.1,"(25,)",5,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (25,), 'ica__n_components': 5}",0.5053871090770404,0.543459191456903,0.49999999999999994,0.5207279935646978,0.521824484792768,0.5182780075382583,0.015189327402330395,40,0.5089636366242404,0.5334841904598097,0.49999999999999994,0.522269271519386,0.5277391997403736,0.5184912596687619,0.01230681134845908
36,0.047654151916503906,0.013088720137260505,0.0031244754791259766,0.006248950958251953,0.1,"(25,)",6,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (25,), 'ica__n_components': 6}",0.5,0.5,0.5,0.5000000000000001,0.5,0.5,4.9628952514747856e-17,45,0.5,0.49999999999999994,0.49999999999999994,0.49999999999999983,0.49999999999999983,0.4999999999999999,7.021666937153402e-17
37,0.06145763397216797,0.013692338463678264,0.003124380111694336,0.006248760223388672,0.1,"(25,)",7,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (25,), 'ica__n_components': 7}",0.5,0.5,0.49999999999999994,0.5,0.5,0.5,2.483258240809192e-17,45,0.5,0.49999999999999994,0.49999999999999994,0.49999999999999983,0.49999999999999983,0.4999999999999999,7.021666937153402e-17
38,0.08643932342529297,0.019682907474437912,0.0,0.0,0.1,"(25,)",8,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (25,), 'ica__n_components': 8}",0.5,0.5,0.49999999999999994,0.5,0.5,0.5,2.483258240809192e-17,45,0.5,0.49999999999999994,0.49999999999999994,0.49999999999999983,0.49999999999999983,0.4999999999999999,7.021666937153402e-17
39,0.07394723892211914,0.006403360094250991,0.0031241416931152345,0.006248283386230469,0.1,"(25,)",9,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (25,), 'ica__n_components': 9}",0.5,0.5,0.49999999999999994,0.5,0.5,0.5,2.483258240809192e-17,45,0.5,0.5005446623093681,0.49999999999999994,0.49999999999999983,0.49999999999999983,0.5001089324618736,0.00021786492374728517
40,0.10779342651367188,0.047384612734168254,0.0,0.0,0.1,"(25,)",10,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (25,), 'ica__n_components': 10}",0.5,0.5,0.49999999999999994,0.5,0.5,0.5,2.483258240809192e-17,45,0.5,0.49999999999999994,0.49999999999999994,0.49999999999999983,0.49999999999999983,0.4999999999999999,7.021666937153402e-17
41,0.14788155555725097,0.05560874109864276,0.003124046325683594,0.006248092651367187,0.1,"(25,)",11,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (25,), 'ica__n_components': 11}",0.5,0.6436594202898551,0.49999999999999994,0.5,0.5,0.5287486471175148,0.05747633659109108,36,0.5,0.6196931257883269,0.49999999999999994,0.4997258771929823,0.49999999999999983,0.5238838005962618,0.04790478024098138
42,0.23745903968811036,0.12118923527722128,0.0,0.0,0.1,"(25,)",12,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (25,), 'ica__n_components': 12}",0.5723779557589627,0.571186117467582,0.6083333333333333,0.5,0.5051855895196506,0.5514450845160551,0.042068720381026194,27,0.5941925381263616,0.562808164201353,0.607339682949203,0.49999999999999983,0.5272046751808792,0.5583090120915595,0.040197754068840005
